,tripduration,start_station_id,end_station_id,usertype,birth_year,gender,Hour,Month,Day of Week
103,26.183333333333334,167,3122,1,1967,0,17,8,3
104,16.383333333333333,3178,305,1,1967,0,7,10,1
105,8.05,3314,3170,1,1967,1,17,3,4
106,7.35,3509,3493,1,1967,0,19,9,4
107,8.916666666666666,212,128,1,1967,0,8,5,2
108,12.433333333333334,3466,517,0,1968,0,9,9,4
109,21.866666666666667,379,522,1,1968,0,7,4,3
110,4.716666666666667,3172,3159,1,1968,1,14,7,3
111,7.016666666666667,3435,2010,1,1968,0,10,10,4
112,5.016666666666667,3172,3158,1,1968,1,15,4,4
113,11.983333333333333,3458,3259,1,1968,0,13,11,6
114,18.616666666666667,3390,3238,1,1968,0,11,8,1
115,11.666666666666666,247,311,1,1968,0,5,5,2
116,7.8,440,2012,1,1969,0,8,8,2
117,7.766666666666667,359,450,1,1969,0,7,8,1
118,9.75,3256,212,1,1969,0,16,7,4
119,41.36666666666667,492,3164,0,1969,2,14,4,5
120,16.916666666666668,426,369,0,1969,2,15,3,0
121,23.116666666666667,3304,392,0,1969,2,9,3,1
122,12.933333333333334,2022,3157,0,1969,2,18,5,4
123,13.683333333333334,3120,3120,0,1969,2,15,4,6
124,3.5,435,470,1,1969,0,13,4,4
125,3.216666666666667,243,241,1,1969,0,18,4,2
126,28.7,3674,387,0,1969,2,12,5,5
127,11.766666666666667,3321,3324,0,1969,2,17,5,4
128,35.28333333333333,335,478,0,1969,2,11,2,1
129,11.683333333333334,274,399,1,1969,0,22,5,4
130,29.233333333333334,3223,3177,0,1969,2,15,5,6
131,52.68333333333333,3322,3322,1,1969,1,7,12,6
132,47.7,3437,3623,0,1969,2,11,2,2
133,14.85,3447,465,1,1969,0,9,8,3
134,14.733333333333333,445,308,1,1969,0,8,3,0
135,26.083333333333332,327,3260,0,1969,2,13,1,0
136,11.516666666666667,533,536,0,1969,2,11,2,1
137,15.316666666666666,3373,420,1,1969,2,15,3,6
138,10.266666666666667,3589,3130,1,1969,2,7,5,2
139,3.7333333333333334,439,401,1,1970,0,8,12,5
140,24.266666666666666,3158,3259,1,1970,1,10,8,3
141,6.7,3263,393,1,1970,0,23,12,5
142,20.25,524,520,1,1970,0,15,5,5
143,9.283333333333333,526,507,1,1970,1,18,9,1
144,10.95,435,2021,1,1970,0,9,5,1
145,14.066666666666666,417,346,1,1970,0,18,4,1
146,4.966666666666667,524,281,1,1970,0,8,8,2
147,40.11666666666667,3162,377,1,1970,1,8,11,4
148,10.4,3115,3221,1,1970,0,14,4,4
149,12.1,440,3458,1,1971,1,16,5,2
150,10.883333333333333,401,337,1,1971,0,8,12,2
151,12.283333333333333,517,496,1,1971,0,11,5,2
152,9.3,3410,3339,1,1971,1,18,10,3
153,8.45,3349,3414,1,1971,0,11,4,0
154,6.45,519,498,1,1971,0,16,3,0
155,4.533333333333333,342,311,1,1971,0,10,2,6
156,23.066666666666666,427,3236,1,1971,0,18,7,3
157,15.066666666666666,426,458,1,1971,1,8,10,4
158,3.3,150,428,1,1971,0,17,5,4
159,3.8,450,478,1,1971,0,20,11,0
160,6.816666666666666,3093,3476,1,1971,1,18,7,4
161,15.116666666666667,427,304,1,1971,0,10,2,4
162,30.75,444,328,1,1971,1,16,8,1
163,12.016666666666667,3501,3351,0,1971,0,13,11,2
164,12.85,251,482,1,1972,1,18,5,4
165,7.866666666666666,379,527,1,1972,0,6,8,1
166,33.15,368,3152,1,1972,0,15,5,2
167,13.85,3258,3224,1,1972,0,12,9,5
168,15.35,423,3145,1,1972,0,17,4,4
169,42.9,434,3304,1,1972,0,17,6,3
170,5.85,501,3431,1,1972,1,14,12,5
171,9.166666666666666,3260,3632,1,1972,0,12,9,2
172,6.05,3042,3046,1,1972,1,0,6,4
173,6.083333333333333,508,530,1,1973,0,12,4,6
174,10.0,3508,3538,0,1973,0,12,4,6
175,10.75,498,458,1,1973,0,21,4,6
176,5.683333333333334,3358,3300,1,1973,1,6,7,4
177,29.916666666666668,410,3312,1,1973,0,13,4,5
178,9.466666666666667,2006,3164,1,1973,0,17,3,3
179,5.0,305,441,1,1973,1,16,8,5
180,15.783333333333333,2008,3461,1,1974,1,23,12,1
181,3.9,3362,3294,1,1974,0,21,2,1
182,32.1,507,3335,1,1974,0,22,5,2
183,40.2,3383,442,1,1974,0,8,2,0
184,40.05,523,3178,1,1974,0,10,4,5
185,4.016666666666667,167,164,1,1974,0,13,4,5
186,15.283333333333333,466,3427,1,1974,1,17,9,3
187,13.533333333333333,167,461,1,1974,1,16,8,2
188,13.45,3656,3659,1,1974,0,8,5,3
189,12.516666666666667,3443,3172,1,1974,0,15,4,4
190,23.4,150,313,1,1974,0,9,4,3
191,14.816666666666666,448,3132,1,1974,0,8,11,5
192,6.15,384,416,1,1975,0,17,4,6
193,23.566666666666666,3325,281,1,1975,1,18,1,1
194,14.6,514,3256,1,1975,0,14,4,5
195,18.133333333333333,3255,377,1,1975,0,9,5,3
196,43.0,324,3180,1,1975,0,18,6,2
197,12.15,468,345,1,1975,0,10,4,0
198,14.383333333333333,410,295,0,1975,0,12,11,3
199,5.466666666666667,445,297,1,1975,0,6,6,6
200,11.983333333333333,540,394,1,1975,0,17,10,2
201,13.433333333333334,3224,458,0,1975,0,16,10,3
202,4.766666666666667,503,345,1,1975,0,18,5,1
203,4.55,3167,3159,1,1975,0,13,5,2
204,4.033333333333333,442,474,1,1975,0,16,11,1
205,5.683333333333334,3081,3087,1,1975,1,17,5,1
206,5.8,3534,3343,1,1975,0,9,12,6
207,4.716666666666667,83,3412,1,1975,0,8,5,0
208,11.566666666666666,508,212,1,1975,0,10,6,5
209,8.666666666666666,309,347,1,1975,0,9,7,1
210,18.216666666666665,3412,319,1,1976,0,8,5,4
211,12.683333333333334,497,247,1,1976,1,10,3,5
212,11.05,446,458,1,1976,0,21,9,0
213,9.783333333333333,2022,440,1,1976,1,17,9,1
214,8.533333333333333,426,380,1,1976,0,17,9,0
215,12.9,304,412,1,1976,0,14,5,1
216,27.183333333333334,3346,387,1,1976,0,8,1,1
